"FUNDING AGENCY","BOROUGH","PROGRAM TYPE","Status","DEVELOPMENT","ADDRESS","SPONSOR","Postcode","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA"
"AGING","Brooklyn","Senior Center","Occupied","Farragut","228 York Street","Spanish Speaking Elderly Council - RAICES, Inc.","11201","40.701304","-73.981762","302","35","23","3325909","3000710001","BK0202"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Farragut","228 York Street","Brooklyn Bureau of Comm. Service","11201","40.701304","-73.981762","302","35","23","3325909","3000710001","BK0202"
"AGING","Brooklyn","Senior Center","Occupied","Marlboro","2298 West 8th Street","Jewish Community Council of Coney Island","11223","40.592081","-73.978468","313","47","382","3322179","3071400016","BK1301"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Marlboro","2298 West 8th Street","Heartshare St. Vincent's Services","11223","40.592081","-73.978468","313","47","382","3322179","3071400016","BK1301"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Carey Gardens","2315 Surf Avenue","NIA Community Services Network, Inc.","11224","40.573958","-73.989878","313","47","326","3321840","3070560014","BK1302"
,"Brooklyn",,"Vacant","Gowanus","244 Bond Street","Vacant","11217","40.681914","-73.98825","306","39","71","3336075","3004040001","BK0601"
,"Brooklyn","Senior Center","RESERVED","Brevoort","258 Ralph Avenue","Riseboro Community Partnership, Inc.","11233","40.68071","-73.922336","303","41","381","3325169","3016880001","BK0302"
,"Brooklyn","TA USE","Occupied","Wyckoff Gardens","266 Wyckoff Street","NYCHA","11217","40.683464","-73.984193","306","39","127","3336056","3003940001","BK0601"
"DOE","Brooklyn","Child Care","Occupied","Pink","2700 Linden Boulevard","Colony South Brooklyn Houses","11208","40.669187","-73.864673","305","42","1214","3326995","3044880001","BK0505"
"AGING","Brooklyn","Senior Center","Occupied","Pink","2702 Linden Boulevard","Fort Greene Senior Citizens Council","11208","40.669208","-73.864514","305","42","1214","3326995","3044880001","BK0505"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Pink","2702 Linden Boulevard","CAMBA, Inc.","11208","40.669208","-73.864514","305","42","1214","3326995","3044880001","BK0505"
,"Brooklyn","RA Leader","Occupied","Wyckoff Gardens","272 Wyckoff Street","NYCHA","11217","40.68342","-73.984081","306","39","127","3336056","3003940001","BK0601"
"DOE","Brooklyn","Child Care","Occupied","Gravesend","2757 West 33rd Street","Labor Industry for Education, Inc.","11224","40.578145","-74.00018","313","47","330","3331093","3069640002","BK1302"
"AGING","Brooklyn","Senior Center","Occupied","Brevoort","280 Ralph Avenue","Riseboro Community Partnership, Inc.","11233","40.679794","-73.922153","303","41","381","3325173","3016880001","BK0302"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Brevoort","280 Ralph Avenue","CAMBA, Inc.","11233","40.679794","-73.922153","303","41","381","3325173","3016880001","BK0302"
"AGING","Brooklyn","Senior Center","Occupied","Wyckoff Gardens","280 Wyckoff Street","Spanish Speaking Elderly Council - RAICES, Inc.","11217","40.683365","-73.983941","306","39","127","3336056","3003940001","BK0601"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Wyckoff Gardens","280 Wyckoff Street","St. Vincent's Services, Inc.","11217","40.683365","-73.983941","306","39","127","3336056","3003940001","BK0601"
"AGING","Brooklyn","Senior Center","Occupied","Cooper Park","288 Frost Street","St. Nicks Alliance","11222","40.718837","-73.939856","301","34","44901","3327829","3028670001","BK0104"
,"Brooklyn","TA Use","Occupied","Cooper Park","292 Frost Street","NYCHA","11222","40.718895","-73.939633","301","34","44901","3327829","3028670001","BK0104"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","O'Dwyer Gardens","2945 West 33rd Street","Brooklyn Bureau of Comm. Service","11224","40.573879","-73.99937","313","47","342","3321766","3070480015","BK1302"
"DYCD","Brooklyn","Community Center - Cornerstone?","Occupied","Coney Island I (Sites 4 & 5)","2947 West 28th Street","Heartshare St. Vincent's Services","11224","40.574453","-73.994089","313","47","342","3385303","3070530014","BK1302"
"AGING","Brooklyn","NORC","Occupied","Coney Island I (Site 8)","2950 West 35th Street","Jewish Association Services For the Aged","11224","40.573838","-74.000493","313","47","342","3189511","3070460022","BK1302"
"OTHER","Brooklyn","Child Care","Occupied","Sheepshead Bay","2953 Avenue X","Bay Kids Miniversity","11235","40.593955","-73.939418","315","46","572","3344550","3074051001","BK1503"
"Direct Head Start","Brooklyn","Child Care","Occupied","Carey Gardens","2964 West 23rd Street","Police Athletic League, Inc.","11224","40.574699","-73.989827","313","47","326","3321840","3070560014","BK1302"
"AGING","Brooklyn","Senior Center","Occupied","Hughes Apartments","301 Sutter Avenue","Wayside Out-Reach Development Corporation, Inc.","11212","40.667312","-73.909072","316","41","906","3348344","3035260021","BK1602"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Hughes Apartments","301 Sutter Avenue","Research Foundation of CUNY / Medgar Evers College","11212","40.667312","-73.909072","316","41","906","3348344","3035260021","BK1602"
