"BOROUGH","DEVELOPMENT NAME","ADDRESS","STATUS","SPONSOR","POSTCODE","TYPE","Latitude","Longitude","Community Board","Community Council ","Census Tract","BIN","BBL","NTA"
"Manhattan","Holmes Towers","1794 First Avenue","Occupied","SCAN Supportive Children's Advocacy Network","10128","Child Care - Early Learn","40.781201","-73.946206","8","5","152","1,076,333","1,015,730,020","Yorkville                                                                  "
"Manhattan","Vladeck","367 Madison Street","Occupied","Henry Street Settlement, Inc.","10002","Other - Family/Youth Program","40.713395","-73.982282","3","2","202","1,083,405","1,002,670,024","Lower East Side                                                            "
"Manhattan","Smith","50 Madison Street","Occupied","Hamilton-Madison House, Inc.","10038","NORC","40.711958","-73.997825","3","1","25","1,077,420","1,001,110,100","Chinatown                                                                  "
"Manhattan","Dyckman","3754 Tenth Avenue","Occupied","New York Foundation For Senior Citizens","10034","Senior Center","40.860844","-73.921587","12","10","299","1,080,032","1,022,160,001","Marble Hill-Inwood                                                         "
"Manhattan","East River","400 -402 East 105th Street","Occupied","Union Settlement Association","10029","Other - Social Adult Day Care","40.788908","-73.940486","11","8","162","1,083,941","1,016,960,001","East Harlem South                                                          "
"Manhattan","King Towers","1 West 112th Street","Occupied","East Calvary Day Care Center, Inc.","10026","Child Care - Early Learn","40.798159","-73.948363","10","9","186","1,083,309","1,015,960,001","Central Harlem South                                                       "
"Bronx","Jackson","325 East 156th Street","Occupied","Presbyterian Senior Services","10451","Senior Center","40.821439","-73.917995","1","17","69","2,091,224","2,024,160,001","Melrose South-Mott Haven North                                             "
"Brooklyn","Wyckoff Gardens","280 Wyckoff Street","Occupied","Spanish Speaking Elderly Council - RAICES","11217","Senior Center","40.683365","-73.983941","6","33","127","3,336,056","3,003,940,001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Bronx","Monroe","816 Soundview Avenue","NYCHA HOLD + being looked at","NYCHA","10473","Vacant- health clinic","40.821583","-73.866325","9","18","42","2,092,750","2,036,370,001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Manhattan","Tafts Rehab","146 St. Nicholas Avenue","Occupied","Citizen's Care Committee, Inc","10026","Other - Office Space","40.804493","-73.952728","10","9","218","1,084,043","1,019,230,029","Central Harlem South                                                       "
"Bronx","Bronx River","1619 East 174th Street","Occupied","Institute for the Puerto Rican/Hispanic Elderly","10472","Senior Center","40.83395","-73.876147","9","18","62","2,092,909","2,038,860,002","West Farms-Bronx River                                                     "
"Staten Island","Todt Hill","184 Schmidts Lane","Occupied","Staten Island Comm Servs Friendship Club, Inc.","10314","Senior Center","40.609058","-74.119053","2","49","173","5,108,960","5,007,060,001","New Springville-Bloomfield-Travis                                          "
